label	id	approved	datestart	dateend	name	shortname	hashtag	homepage	presentation form	onlinebanner	city	country	venue	OSM-Link	lat	lon	coclink	Self-description	cfpdate	cfplink	type	tags	EntranceFee	Registration	ParticipantsLastTime	Main language	Main Organiser	Specialties	First Edition	Main Sponsors	Edition’s Topic	Technologies in use	Online Interactivity	Technical Liberties	Timezone	Twitter	Mastodon	Telegram	Git*	Instagram	LinkedIn	Facebook	Youtube	Matrix	Mailinglist	cancelled	replacement	replaces	cancellation_description
Linux Plumbers Conference			20220912	20220914	Linux Plumbers Conference			https://lpc.events/		/img/eventbanners/2022/2022-lpc.png	Dublin	IE							20220612	https://lpc.events/event/16/abstracts/					?	EN																							
LibreOffice Conference			20201013	20201016	LibreOffice Conference			https://conference.libreoffice.org/2020/	online		Nürnberg	DE						<p>Organizers of the openSUSE + LibreOffice Conference, along with the project’s boards, have made the decision to change the conference to an online conference.</p>	20200721	https://events.opensuse.org/	Project Event	Libre Office			?	EN							To be defined.	To be defined.	UTC+2														
Cloud Foundry Summit Europe			20190911	20190912	Cloud Foundry Summit Europe			https://www.cloudfoundry.org/event/eusummit2019/			The Hague	NL													?																								
Kernel Maintainer Summit			20190912	20190912	Kernel Maintainer Summit			https://events.linuxfoundation.org/events/linux-kernel-maintainer-summit-2019/			Lisbon	PT													?																								
BalCCon2k21			20211001	20211003	Balkan Computer Congress 2021	BalCCon2k21	#BalCCon2k21	https://2k21.balccon.org/ 	online				On the Internet					<p>Our major goal is to gather all the communities from the region and abroad so we can socialize, hack, play, learn, exchange knowledge and experience and of course, party together.</p><p>BalCCon is a non commercial, community organized event, with talks and workshops by the community for the community. We are aiming to become the center of the hacker community in the region as well as to provide an opportunity for all the people in this part of Europe to connect and to cooperate.</p>			Community Event	CCC	?	?	?	EN		Assembly space, Rakia Leaks				?				https://twitter.com/BalCC0n													
TechParty			20190914	20190914	TechParty			http://techparty.online/			Madrid	ES													?																								
Nextcloud conference			20190914	20190915	Nextcloud conference			https://nextcloud.com/conf/			Berlin	DE													?																								
Bitkom Forum Open Source			20210916	20210916	Bitkom Forum Open Source			https://www.bitkom.org/bfoss19	hybrid		Erfurt	DE	Steigerwaldstadion	https://www.openstreetmap.org/way/37437787	50.9603	11.0374		<p>Open Source ist in der deutschen Wirtschaft angekommen, das belegen die Zahlen des Bitkom Open Source Monitors 2019 ganz klar. Der Einsatz und die Nutzung von Open Source gehört für viele Unternehmen und Organisationen zum täglichen Geschäft und so fällt ein Bekenntnis zu Open Source durchweg positiv aus. Doch die weiteren Schritte und Möglichkeiten im Umgang mit Open Source sind häufig noch nicht so klar: Open Source, Ja! Und jetzt?</p><p>Das 7. Forum Open Source will sich mit den Chancen, Potenzialen und Möglichkeiten von Open Source auseinandersetzen und insbesondere beleuchten, wie Open Source erfolgreich in Organisationen gelebt werden kann.</p><p>Das Forum Open Source findet am Donnerstag, 16. September 2021, 10:00 – 17:00 Uhr  statt.</p><p>Nach aktuellem Stand planen wir eine Präsenzveranstaltung und haben dafür die Arena Erfurt im Steigerwaldstadion (Mozartallee 3, 99096 Erfurt (Lage)) optioniert. Sollte eine Präsenzveranstaltung auf Grund der weiteren Pandemie-Entwicklung nicht möglich sein, werden wir das Forum in einem Online-Format durchführen.</p><p>Die Teilnahme am Forum ist kostenfrei.</p>	20210326	https://www.bitkom.org/bfoss21	Business Event	Bitkom	Zero	https://www.bitkom.org/formular/AnmeldungBitkom-Forum-Open-Source-2021	?	DE	Bitkom																						
Owncloud Conference			20190917	20190920	Owncloud Conference			https://conference.owncloud.org/			Nuremberg	DE													?																								
End Summer Camp			20200902	20200906	End Summer Camp 2K20	ESC		https://www.endsummercamp.org/			Venezia Tessera	IT	Forte Bazzera	https://www.openstreetmap.org/#map=17/45.49790/12.33106	45.4979	12.32972	nococ	ESC è un incontro non-profit di persone interessate all'Hacking, al Software Libero e al DIY. Il contenuto dell'evento è in continua evoluzione e viene creato dai suoi partecipanti.			Camping, Community Event		?	?	?	?	?																						
Datenspuren			20190920	20190922	Datenspuren			https://wiki.c3d2.de/Datenspuren_2019			Dresden	DE													?																								
Hackmeeting			20190920	20190922	Hackmeeting			https://es.hackmeeting.org/hm/index.php?title=Hackmeeting2019			Errekaleor-Gasteiz	ES													?																								
FixFest_Reparatur-Festival			20190920	20190922	FixFest_Reparatur-Festival			https://reparatur-festival.runder-tisch-reparatur.de/			Berlin	DE													?																								
CH Open Workshop Tage			20220906	20220908	CH Open Workshop Tage 2022			https://workshoptage.ch/		/img/eventbanners/2022/2022-ch-open.png	Bern	CH	Berner Fachhochschule Wirtschaft	https://www.openstreetmap.org/node/443520918	46.94246	7.44030	nococ	<p>An den Workshop-Tagen dreht sich während dreier Tage in verschiedenen, eintägigen Workshops alles um bekannte und aktuelle Themenwelten rund um Open Source Software und Technologien sowie Soft Skills aus diversen Bereichen. Es bleibt auch Zeit für den Austausch und das Networking. Ein Muss für alle OS-Liebhaber und Entdecker.</p>	20220513	https://workshoptage.ch/call-for-proposals-2022/	Community Event		?	?	?	DE	CH Open																						
JoomlaDay™ Deutschland, Österreich & Schweiz			20220923	20220924	JoomlaDay™ Deutschland, Österreich & Schweiz		#	https://www.joomladay.de/		/img/eventbanners/2022/2022-joomladay-de.png	Bad Hersfeld	DE	Hotel am Kurpark	https://www.openstreetmap.org/node/393516266	50.8627092	9.6993000	nococ				Project Event	Joomla	?	?	?	DE				reDim GmbH, BackupMonkey, gn2 Hosting, Mittwald, formativ.net GmbH, Akeeba Ltd			To be defined.	To be defined.	UTC+2														
Software Freedom Day			20210918	20210918	Software Freedom Day	SFD	#SFD	http://www.softwarefreedomday.org/													Global Day																												
State of the Map			20220819	20220821	State of the Map			https://2022.stateofthemap.org/		/img/eventbanners/2022/2022-state-of-the-map.svg	Florence	IT					https://2022.stateofthemap.org/codeofconduct/	State of the Map is the annual event for all mappers and OpenStreetMap users. In 2022 the State of the Map conference will be a three day hybrid conference taking place in Florence, Italy and online.	20220425	https://2022.stateofthemap.org/calls/general/	Community Event, Project Event	OSM,OpenStreetMap	Zero		?	EN	Openstreetmap Foundation		<a href=”https://2007.stateofthemap.org/”>2007</a>						UTC	https://twitter.com/sotm							https://www.youtube.com/channel/UCLqJsr_5PfdvDFbgv1qp2aQ						
FediConf			20200925	20200927	FediConf			https://fediconf.org/			Barcelona	ES	Lleialtat	https://www.openstreetmap.org/way/264735742#map=19/41.37293/2.13680	41.37293	2.1368	nococ	<p>The FediConf is a place where everyone interested in Free social networks, Descentralized technology and Free software can meet in person, share experiences, concerns, and progress in our fight for a better Internet.</p><p>Talks, debates and workshops during one weekend to put in common our interests and doubts, and to learn from each other.</p><p>--</p><p>La FediConf és un espai de trobada on totes aquelles persones interesades en les Xarxes Socials Lliures, la tecnología descentralitzada i el Software Lliure es poden probar en persona, compartir experiències, preocupacions i progressos en la nostra lluita per un internet millor.</p><p>Xerrades, taules de debat i tallers durant un cap de setmana per tal d'aunar interessos comúns, dubtes i aprenentatge.</p><p>--</p><p>La FediConf es un espacio de encuentro donde todas aquellas personas interesadas en las Redes Sociales Libres, la tecnología descentralizada y el Software Libre se pueden encontrar en persona, compartir experiencias, preocupaciones y progresos en nuestra lucha por un internet mejor.</p><p>Charlas, mesas de debate y talleres durante un fin de semana con el objetivo de aunar intereses comunes, dudas y aprendizaje.</p>	open	https://formularis.lleialtat.cat/fediconf-speakers	Community Event	Fediverse	?	?	?	CA/EN/ES	?										https://libertalia.world/@fediconf												
Open Networking Summit			20190923	20190925	Open Networking Summit	ONS		https://events.linuxfoundation.org/events/open-networking-summit-europe-2019/			Antwerp	BE													?																								
INFORMATIK 2022			20220926	20220930	INFORMATIK 2022			https://informatik2022.gi.de/		/img/eventbanners/2022/2022-informatik.jpg	Hamburg	DE	UHH Gebäude, Universität Hamburg	https://www.openstreetmap.org/node/587673450	53.5624438	9.9889343		<p>Die #INFORMATIK2022 ist die offizielle Jahrestagung der Gesellschaft für Informatik e.V. (GI), der größten Vereinigung der Informatikerinnen und Informatiker im deutschsprachigen Raum und wird jährlich an wechselnden Orten veranstaltet. Die 52. Jahrestagung INFORMATIK 2022 findet vom 26. bis 30.09.2022 in Hamburg als Präsenzveranstaltung statt.</p><p>Das Rahmenthema der INFORMATIK 2022 ist „Informatik in den Naturwissenschaften“. Dieses Thema fokussiert auf die Synergien der verschiedenen Naturwissenschaftsdisziplinen mit der Informatik. Naturwissenschaften beobachten und ergründen die Natur durch Empirie und Experimente, um sie verstehbar und nutzbar zu machen. Die Informatik nimmt dabei eine besondere Rolle ein, indem sie komplexe Analysen und Vorhersagen ermöglicht und große Datenmengen verarbeitet, verwaltet und visualisiert. Einerseits bedienen sich die Naturwissenschaften dabei der Informatik als Werkzeug, andererseits ist die Natur in den verschiedenen Bereichen der Informatik ein Vorbild und Quelle für Inspiration.</p><p>Neben Beiträgen zum Schwerpunktthema gibt die INFORMATIK 2022 einen Einblick zu weiteren Themen, die aktuell besondere Aufmerksamkeit in Wissenschaft, Praxis und Gesellschaft erfahren. Dies sind z. B. Web Science, Data Science, Internet of Everything, Sichere und zuverlässige Systeme, KI, Autonomes Fahren und Mobilität, Quantencomputing, Digital Health, Green Coding, Robotik, Industrie 4.0, Software Engineering, Computerethik sowie Informatik-Didaktik.</p><p>Auf der INFORMATIK 2022 bringen wir Gesprächspartnerinnen und -partner aus Wissenschaft, Politik und Wirtschaft zusammen, beleuchten gesellschaftliche und politische Zusammenhänge und suchen den Dialog mit allen Interessierten.</p>							?	DE	Gesellschaft für Informatik e.V.																						
educode			20190927	20190927	educode			https://educode.be/			Brussels	BE													?																								
Percona Live			20210512	20210513	Percona Live			https://www.percona.com/live/conferences	online	/img/eventbanners/2021/2021-percona-live.png			On the internet				https://www.percona.com/live/conferences/attend	<p>Percona Live is a community-focused event for database developers, administrators, and decision-makers to network with peers and technology professionals. Come learn from the best and brightest of the open source database community as they share their knowledge, experience, and use cases with you in small group sessions and tutorials.</p><p>Format</p><p>The conference will be held online in 2021 and be run over 2 days. We will have multiple tracks on various technologies and use cases and accessible overall time zones.</p><p>Our conference platform is heavily focussed on attendee experience and engagement and we think this is an awesome opportunity to get together virtually and chat and talk with like-minded people!.</p>	20210228	https://cfp.percona.com/	Project Event		Zero	https://cfp.percona.com/	?	EN						Youtube, Twitch, Slack				https://twitter.com/percona			https://github.com/percona		https://www.linkedin.com/company/percona								
Open Access Barcamp			20220428	20220429	Open Access Barcamp			https://open-access.network/vernetzen/barcamp	online	/img/eventbanners/2022/2022-open-access-barcamp.png								Vom 28. bis 29. April 2022 wird unser nächstes Open Access Barcamp online stattfinden. Jeweils vormittags stellen die Teilnehmenden selbst ein abwechslungsreiches Programm zusammen und diskutieren über Open-Access-Themen. So könnten z. B. die Umsetzung der DEAL-Verträge, die Verstetigung von Publikationsfonds, Open-Access-Monografien oder Open Access in bestimmten Fachdisziplinen behandelt werden. Das Barcamp wird im Rahmen des Projekts open-access.network vom Kommunikations-, Informations-, Medienzentrum (KIM) der Universität Konstanz veranstaltet.			Unconference		Zero	https://open-access.network/vernetzen/barcamp	?	DE																							
Open-Access-Tage			20220919	20220921	Open-Access-Tage			https://open-access-tage.de/open-access-tage-2022-bern		/img/eventbanners/2022/2022-open-access-tage.png	Bern	CH	Universitätsbibliothek Bern	https://www.openstreetmap.org/way/28872696	46.95018	7.43694		<p>Die Open-Access-Tage 2022 werden von der Universitätsbibliothek Bern vom 19. bis 21. September durchgeführt. Sie widmen sich dem Thema Kollaboration.</p><p>Der Wandel des Publikationssystems zu mehr Offenheit und Transparenz ist eine Aufgabe, die nur gemeinsam bewerkstelligt werden kann. Daher ist die Zusammenarbeit von Bibliotheken mit Forschenden, anderen Institutionen und Netzwerken, Förderern und Dienstleistern immens wichtig. Da diese Zusammenarbeiten für die Entwicklung von Zielen, Strategien und Programmen zur Förderung von Open Access sowie für die alltägliche Arbeit an und für Open Access zentral sind, finden die diesjährigen Open-Access-Tage 2022 in Bern unter dem Motto «Kollaboration» statt.</p>	20220425	https://open-access-tage.de/open-access-tage-2022-bern/call-for-proposals	Community Event	open access	Zero	?	400	DE	Open-acces.network								UTC+2	https://twitter.com/openaccessnet						https://www.facebook.com/openaccess.net							
																																																	
Hackers Congress			20191004	20191006	Hackers Congress			https://opt-out.hcpp.cz/			Prague	CZ													?																								
suckless conference			20191004	20191006	suckless conference			https://suckless.org/conferences/2019/			Bad Liebenzell	DE													?																								
LinuxDays			20201003	20201003	LinuxDays			https://www.linuxdays.cz/2020/en/	online				On the internet					The LinuxDays conference 2020 means two days of talks, workshops, booths of various projects (Fedora, Gentoo, Slax, openSUSE, vpsFree.cz, Python, Mozilla, brmlab, OpenAlt etc.), electronics ham-shack for children, lots of interesting people and lot of new information. Although the event is primarily held in the Czech language, there will be talks in English as well. The event is free of charge.							?	EN			2014																				
PyConES			20220930	20221002	PyConES 2022	PyConES	#PyConES	https://2022.es.pycon.org/		/img/eventbanners/2022/2022-pycon-es.svg	Granada	ES	Parque Tecnológico de la Salud	https://www.openstreetmap.org/way/504228247	37.14877	-3.60701	https://2022.es.pycon.org/pages/code-of-conduct.html	Un evento que reunirá a los ponentes más interesantes, una agenda increíble y unas oportunidades de trabajo maravillosas en el mundo IT. 	20220510	https://charlas.2022.es.pycon.org/pycones2022/cfp	Community Event	Python	?	?	?	ES										https://twitter.com/PyConES													
Sonoj Convention			20221008	20221009	Sonoj Convention			https://www.sonoj.org/		/img/eventbanners/2022/2022-sonoj-convention.png	Cologne	DE						The Sonoj Convention is an annual event in Cologne, Germany about music production with free and open source software. It features demonstrations, talks and hands-on workshops. Meet like-minded people, learn insider knowledge and tricks, participate in our one-hour production challenge!																															
Ubucon Europe			20191010	20191013	Ubucon Europe			http://ubucon.org/en/events/ubucon-europe/			Sintra	PT													?																								
FOSSCOMM			20221118	20221120	Free and Open Source Software Communities Meeting	FOSSCOM	#FOSSCOM	https://2022.fosscomm.gr/			Lamia	GR	 University of Thessaly – Faculty of Sciences	https://www.openstreetmap.org/way/295495000#map=19/38.91225/22.42819	38.91225	22.42819	https://2022.fosscomm.gr/en/%ce%ba%cf%8e%ce%b4%ce%b9%ce%ba%ce%b1%cf%82-%ce%b4%ce%b5%ce%bf%ce%bd%cf%84%ce%bf%ce%bb%ce%bf%ce%b3%ce%af%ce%b1%cf%82/	<p>FOSSCOMM (Free and Open-Source Software Communities Meeting) is an annual national conference of free and open-source software communities. It is aimed at developers, students and generally anyone interested in open source regardless of their background. Open-source communities, developer groups and project contributors participate. The content is of broad interest, from technical issues and workshops, to translations, legal issues, free/open-source policy issues, etc.</p> <p>Participation is free and open to all.</p>			Community Event		Zero		?	EL																							
Hacktoberfest Poznań Meetup			20191012	20191012	Hacktoberfest Poznań Meetup			https://hacktoberfest.pl/			Poznań	PL													?																								
TYPO3 Conference			20191017	20191018	TYPO3 Conference			https://t3con19.typo3.com/			The Hague	NL													?																								
DINAcon			20211029	20211029	DINAcon			https://dinacon.ch/	hybrid	/img/eventbanners/2021/2021-DINAcon_Logo.png 	Basel	CH	Baloise Park	https://www.openstreetmap.org/way/900453683	47.54876	7.59231		<p>Die DINAcon 2021 findet hybrid statt & wir ziehen um!</p><p>Nach vier tollen und erlebnisreichen Jahren im Welle7 Workspace in Bern zieht die DINAcon ans Dreiländereck. Mit einem Bekenntnis zu Open Source Software  und neuen, zentral am Basler Bahnhof gelegenen Konferenzräumlichkeiten hat DINAcon in der Baloise eine starke Locationpartnerin gefunden..</p>	20210618	https://dinacon.ch/cfs/	Community Event	Digital Sustainability	Zero	https://dinacon.ch/tickets/	?	DE	Forschungsstelle Digitale Nachhaltigkeit	DINACon Awards								https://www.facebook.com/dinacon.switzerland					https://www.linkedin.com/company/dinaconch	https://www.facebook.com/dinacon.switzerland							
GNU/LinuxDay – Vorarlberg			20220924	20220924	GNU/LinuxDay – Vorarlberg			https://www.linuxday.at/		/img/eventbanners/2022/2022-linuxday-at.png 	Dornbirn	AT	Höhere Technische Lehr- und Versuchsanstalt Dornbirn	https://www.openstreetmap.org/?mlat=47.4137&mlon=9.7227#map=14/47.4137/9.7227	47.4137	9.7227		Dieses Jahr wird der LinuxDay wieder in der HTL Dornbirn stattfinden. Inwiefern es so was wie Zugangskontrolle geben muss, wird sich klären. Die nicht enden wollende Pandemie ist auch der Grund, warum wir den Termin so früh wie irgend möglich angesetzt haben. Die Erfahrung zeigt: je später im Herbst, umso höher die Inzidenzen.			Community Event	Vorarlberg	Zero		?	DE	Linux User Group Vorarlberg		1999						UTC+2														
OggCamp (Free Culture/FLOSS Unconference)			20191019	20191020	OggCamp (Free Culture/FLOSS Unconference)			http://oggcamp.org/			Sheffield	GB													?													https://t.me/joinchat/AAAAAAsF-xo4ol9jAjNW8A											
ApacheCon			20210921	20210923	ApacheCon			https://apachecon.com/acah2021/	online				On the internet				https://apachecon.com/acah2021/conduct.html	<p>Coming to your living room this September!</p><p>Join us from the comfort of your own home for three days of Apache project content across dozens of categories, from Big Data to Machine Learning to Search to Web Frameworks and more.</p>	https://apachecon.com/acah2021/cfp.html	20210503	Project Event	Apache	Zero	https://hopin.to/events/apachecon-home	Zero	EN	Apache Foundation		1998							https://twitter.com/apachecon													
T-Dose			20201024	20201025	T-Dose			http://www.t-dose.org/			Geldrop / Eindhoven	NL	Hofdael	https://www.openstreetmap.org/#map=19/51.42298/5.56255	51.42298	5.56255	nococ	T-DOSE is a free and yearly event held in The Netherlands to promote use and development of Open Source Software. During this event, Open Source projects, developers and visitors can exchange ideas and knowledge.	20200915	https://t-dose.org/news/t-dose-2020-call-for-papers-and-projects/	Community Event	t-dose	?	?	?	EN / NL	T-DOSE Foundation									https://twitter.com/tdose													
WikidataCon			20211029	20211031	WikidataCon			https://www.wikidata.org/wiki/Wikidata:WikidataCon_2021	online				On the internet					<p>The WikidataCon is an event focused on the Wikidata community in a broad sense: editors, tools builders, but also 3rd party reusers, partner organizations that are using or contributing to the data, the ecosystem of organizations working with Wikibase. The content of the conference will have some parts dedicated to people who want to learn more about Wikidata, some workshops and discussions for the community to share skills and exchange about their practices, and some space left to include side events for specific projects (WikiCite, Wikibase, GLAM, etc.).</p><p>Important: as the global COVID pandemic is still hitting the world, and the forecast for 2021 doesn’t indicate much improvement, the situation doesn’t allow us to plan a traditional onsite international conference. In 2021, we will not gather all participants in Berlin, and we will avoid any international travel. Instead, we are experimenting with a hybrid format for the conference: most of the content and interactions will take place online, and small, local gatherings will be possible, if the situation allows it.</p><p>In a similar way to the distributed Wikidata birthday events (2018, 2020), we will encourage Wikimedia chapters, local groups and communities to organize their part of the event, to support and gather people inside their country, and to contribute to the content, for example with running talks, workshops and discussions. Wikimedia Germany will provide the technical infrastructure and support the coordination of these distributed events.</p><p>The organization and coordination of the WikidataCon will be run by Wikimedia Germany in partnership with another organization: Wiki Movimento Brasil joined the organizing team and will bring their experience in running Wikidata community events. Together, we will make sure that the program includes a great diversity of speakers and we will prepare a physical event to gather the Wikidata community in Brazil. (announcement)</p><p>In these quite unpredictable times, organizing an event is a challenge, and the WikidataCon 2021 will definitely be one of a kind: we will have to adapt, to be agile, to make the best out of the situation, and to work closely with the local Wikidata groups all over the world. We’re looking forward to running this exciting experiment with you!</p>							?																								
NixCon			20201016	20201018	NixCon 2020			https://2020.nixcon.org/	online				On the internet				https://2020.nixcon.org/code-of-conduct.html	<p>NixCon is a community-oriented conference for contributors and users of Nix and NixOS. It's about sharing experiences, inspiring people and discussing future development.</p><p>We would like to learn about how you use Nix and NixOS in your organization and what you are currently working on.</p><p>The growth of NixOS as a project brings its own challenges and we would like to know how you think the user experience can be improved and how NixOS can be scaled.</p>			Project Event	nixos	Zero	No	?	EN	Nixo		2015	Mutable,Equinix Metal		Youtube,IRC,Discord	Q&A	Free Frontend, partly proprietary backend	UTC+2	https://twitter.com/nixconf?ref_src=twsrc%5Etfw			https://github.com/nixcon/2020.nixcon.org										
MiniDebConf in Vaumarcus			20191025	20191027	MiniDebConf in Vaumarcus			https://wiki.debian.org/DebianEvents/ch/2019/Vaumarcus			Vaumarcus	CH													?																								
PSSOH Conference			20191026	20191026	PSSOH Conference			http://pssoh.etf.bg.ac.rs/			Belgrade	RS													?																								
Linux Day across Italy			20221022	20221022	Linux Day Italy			https://www.linuxday.it/2022/	hybrid			IT									Regional Day				?				2001							https://twitter.com/LinuxDayItalia	https://mastodon.uno/@ItaLinuxSociety/		gitlab.com/ItalianLinuxSociety/			https://www.facebook.com/LinuxDayItalia							
																																																	
Open Source Summit + Embedded Linux Conference Europe			20191028	20191030	Open Source Summit + Embedded Linux Conference Europe			https://www.linuxfoundation.org/press-release/2019/01/the-linux-foundation-announces-2019-events-schedule/	online		Lyon	FR											50 $		?																								
EmacsConf			20221203	20221204	EmacsConf 2022	EmacsConf	#EmacsConf	https://emacsconf.org/2022/	online	/img/eventbanners/2021/2021-emacsconf-logo.png			On the internet				https://emacsconf.org/conduct/	We are holding EmacsConf 2022 as an online conference again this year. We remain fully committed to freedom, and we will continue using our infrastructure and streaming setup consisting entirely of free software, much like previous EmacsConf conferences.	20220918	https://emacsconf.org/2022/cfp/	Project Event	Emacs	Zero	No	?	EN	Emacs Hackers		<a href=”https://emacsconf.org/2013/”>2013</a>					We remain fully committed to freedom, and we will continue using our infrastructure and streaming setup consisting entirely of free software, much like previous EmacsConf conferences.															
OpenFest			20210814	20210815	OpenFest			https://www.openfest.org/	online			BG	On the internet					<p>OpenFest is conference for open culture, free and open software and knowledge sharing. This is 19th edition and the first to be held on open-air premises. Also to be streamed online live.</p>			Community Event		Zero	?	?	BG	Open Projects Foundation		2003																				
Promcon			20200714	20200716	Promcon			https://promcon.io/2020-online/	online	/img/eventbanners/2020/2020-promcon-online.png			On the internet				https://promcon.io/coc/	<p>PromCon Online 2020 is the fifth installment of the PromCon conference dedicated to the Prometheus monitoring system. It will take place online on July 14-16, 2020 (Tue - Thu).</p><p>PromCon aims to connect Prometheus users and developers from around the world in order to exchange knowledge, best practices, and experience gained around using Prometheus. We also want to collaborate to build a community and grow professional connections around systems and service monitoring.”</p>					Zero	https://promcon.io/2020-online/register/	?																								
OSHWDem			20201107	20201107	Open Source Hardware Demonstration	OSHWDEM 2020		https://oshwdem.org/	online				On the internet					<p>Sí makers y amantes de las Tecnologías Libres, aceptamos el reto de realizar una edición adaptada a las circunstancias, porque aún en la distancia queremos veros y sentiros cerca. Así que este año la OSHWDem será en formato online el 7 de noviembre.</p><p>Le hemos dado muchas vueltas y si bien las circunstancias no están dadas para hacer de manera responsable la OSHWDem que a todos nos gusta y a la que estamos acostumbrados, aceptamos el desafío de hacerlo posible, porque, ocasiones de hacer una edición especial online como esta hay muy pocas. Así que echemos mano de ingenio y mantengamos vivo el espíritu que nos define en esta edición tan peculiar. </p><p>Esta novena entrega nos llena de orgullo y será un auténtico reto, pero así somos los makers, resolvemos problemas por diversión, cada edición tiene nuevos retos que superar y crece la dificultad pero solo si contamos con el gran apoyo que siempre nos ha brindado la comunidad maker, lo lograremos. ¿Somos makers o gallinas?</p><p>Saquemos brillo a las fortalezas con las que contamos ante esta adversidad y sigamos adelante con esta fiesta, la tecnología será la gran protagonista más que nunca en esta edición, en la exaltación de lo libre y abierto, donde la documentación cobrará especial relevancia siendo el principal medio con el que contaremos para poder palpar los proyectos. No olvidemos que la comunidad maker ha sido una gran protagonista en los últimos sucesos, tenéis muchas aventuras que contar, grandes vivencias que compartir y queremos ser como otra veces ese espacio de encuentro.</p><p>Para los que aún no la conocéis, la OSHWDem es un evento de tecnología única, abierto a todos los públicos, que acoge cada año un número creciente de proyectos libres que sus creadores exponen al público asistente en un ambiente cercano y amistoso, pero este año debemos dar el ejemplo de responsabilidad y compromiso predicando con el ejemplo, queremos mantener la cercanía, la calidez y eso solo es posible en estos momentos con la ayuda de la tecnología, la OSHWDem en su versión más 2D.</p><p>Sin makers no hay OSHWDem, así que estad atentos a los anuncios porque empezamos enseguida. Como todos los años, poco después de este anuncio lanzaremos el llamamiento a makers. Si tienes un proyecto anímate a presentarlo, organizaremos diferentes formatos de actividades online, aún tienes tiempo de pulir, documentar o incluso empezar desde cero. Contaremos más detalles en el siguiente post. </p><p>Si tienes cualquier duda, podemos ayudarte. Contacta con nosotros a través del correo info@oshwdem.org.</p>							?																								
Linux App Summit	1675792957	yes	20230421	20230423	Linux App Summit	LAS	#LAS2023	https://linuxappsummit.org/	hybrid	/img/eventbanners/2023/2023-LAS-WebBanner.svg 	Brno	CZ	Faculty of Informatics at Masaryk University	https://www.openstreetmap.org/way/761057736	49.20999	16.59885	https://linuxappsummit.org/coc/	<p>The Linux App Summit (LAS) brings the global Linux community together to learn, collaborate, and help grow the Linux application ecosystem. Through talks, panels, and Q&A sessions, we encourage attendees to share ideas, make connections, and join our goal of building a common app ecosystem. </p>	20230218	https://linuxappsummit.org/cfp/	Community Event	KDE, Gnome, Linux, App	Zero	https://linuxappsummit.org/register/	?	EN	KDE e.V. and GNOME Foundation		2019			To be defined.				https://twitter.com/LinuxAppSummit		https://t.me/joinchat/Dbb0PlJjx4tPFCSu2dd7PA					https://www.youtube.com/channel/UCjSsbz2TDxIxBEarbDzNQ4w						
SFScon			20211112	20211113	South Tyrol Free Software Conference	SFScon	#SFScon	https://www.sfscon.it/	online		Bozen	IT	NOI Techpark	https://www.openstreetmap.org/way/540072752	46.47853	11.33182	https://www.sfscon.it/code-of-conduct/	<p>A conference all about Free Software: The South Tyrol Free Software Conference, SFScon, is one of Europe’s most established annual conferences on Free Software. SFScon promotes the use of Free Software in IT infrastructures as a tool to achieve greater innovation and competitiveness in the region. Here decision-makers and developers meet, learn and get inspired.</p><p>This year SFScon will take place in blended mode: both online and at NOI Techpark, for a limited number of people. The priority will be given to speakers and sponsors. If circumstances change, we will revert to online only participation.</p>			Community Event		Zero	yes	https://www.eventbrite.it/e/sfscon-2020-tickets-100504702270	EN	NOI Techpark	South Tyrol Free Software Award	2000							https://twitter.com/SFScon													
Linux Presentation Day 2019.2			20201121	20201121	Linux Presentation Day 2020.2			http://linux-presentation-day.org/													Regional Day				?																								
Capitole du libre			20191116	20191117	Capitole du libre			https://2019.capitoledulibre.org/			Toulouse	FR													?																								
Piksel			20221117	20221120	PikselXX			http://piksel.no/		/img/eventbanners/2022/2022-piksel.png	Bergen	NO						<p>Piksel is an international network and annual event for electronic art and technological freedom. Part workshop, part festival, it is organised in Bergen, Norway, and involves participants from more than a dozen countries exchanging ideas, coding, presenting art and software projects, doing workshops, performances and discussions on the aesthetics and politics of free technologies.</p><p>The development, and therefore use, of digital technology today is mainly controlled by multinational corporations. Despite the prospects of technology expanding the means of artistic expression, the commercial demands of the software industries severely limit them instead. Piksel is focusing on the Free/Libre and Open Source movement as a strategy for regaining artistic control of the technology, but also a means to bring attention to the close connections between art, politics, technology and economy.</p>							?																								
